Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Turkey,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Switzerland,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Poland,Continent = EU,HDI = Medium,GDP = Low,GINI = Medium
Country = Poland,Continent = EU,HDI = Medium,GDP = Low,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Poland,Continent = EU,HDI = Medium,GDP = Low,GINI = Medium
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Spain,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Austria,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Austria,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Spain,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Belgium,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Poland,Continent = EU,HDI = Medium,GDP = Low,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = Spain,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Spain,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Israel,Continent = AS,HDI = High,GDP = Medium,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = Canada,Continent = North America,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Sweden,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Italy,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Austria,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = India,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = France,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Turkey,Continent = AS,HDI = Medium,GDP = Low,GINI = High
Country = Russian Federation,Continent = EU,HDI = Medium,GDP = Low,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Spain,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Switzerland,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = Australia,Continent = OC,HDI = High,GDP = Medium,GINI = Medium
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = Brazil,Continent = SA,HDI = Low,GDP = Low,GINI = High
Country = Netherlands,Continent = EU,HDI = High,GDP = Medium,GINI = Low
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = United States,Continent = North America,HDI = High,GDP = High,GINI = High
Country = Germany,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
Country = United Kingdom,Continent = EU,HDI = High,GDP = Medium,GINI = Medium
